number,opened_at,resolved_at,closed_at,short_description,description,category,subcategory,priority,urgency,impact,assignment_group,assigned_to,state,reassignment_count,reopen_count,contact_type,cmdb_ci,requesting_department,sla_due,made_sla
INC100000,2025-09-03 10:57:39,2025-09-07 16:02:56,2025-09-08 19:02:56,Batch job failed,Incident 100000: user reports vpn issue. Observed error AUTH-401. Impact appears limited to the requesting department. Ticket originated via phone and was routed to Collaboration Support.,Facilities,Cabling,P4,3,3,Collaboration Support,Vikram Singh,Closed,0,0,Phone,Business-Service,Customer Support,2025-09-07 10:57:39,True
INC100001,2025-09-26 10:56:16,2025-10-01 11:43:58,2025-10-02 08:43:58,Suspicious email reported,Incident 100001: user reports service portal issue. Observed error DNS-003. Impact appears limited to the requesting department. Ticket originated via phone and was routed to Security Operations.,AV,Display,Sev4,3,3,Security Operations,Arjun Mehta,Closed,0,0,Phone,Shared-Service,Operations,2025-09-30 10:56:16,True
INC100002,2025-09-27 17:54:36,2025-10-01 22:33:03,2025-10-03 22:33:03,VPN disconnects during login,Incident 100002: user reports exchange issue. Observed error AUTH-401. Impact appears limited to the requesting department. Ticket originated via chat and was routed to Network Operations.,HR Systems,Benefits,Sev4,3,3,Network Operations,Vikram Singh,Closed,0,0,Chat,Firewall-01,Finance,2025-10-01 17:54:36,True
INC100003,2025-09-20 23:28:09,2025-09-21 16:58:02,2025-09-24 02:58:02,Password reset requested,Incident 100003: user reports azure issue. Observed error ERR-1042. Impact appears limited to the requesting department. Ticket originated via walk-up and was routed to Identity & Access.,Finance Systems,Invoicing,P3,2,2,Identity & Access,Kiran Joshi,Closed,0,0,Walk-up,MFA-Service,Customer Support,2025-09-22 23:28:09,True
INC100004,2025-09-22 08:23:55,2025-09-24 22:23:37,2025-09-27 21:23:37,pls fix,Incident 100004: user reports vpn issue. Observed error DB-1205. Impact appears limited to the requesting department. Ticket originated via phone and was routed to Network Operations.,Legal Systems,Matter System,Sev4,3,3,Network Operations,Owen Brooks,Closed,0,0,Phone,Core-Switch,IT,2025-09-26 08:23:55,True
INC100005,2025-09-08 09:14:16,2025-09-10 08:08:12,2025-09-10 22:08:12,Batch job failed,Incident 100005: user reports erp issue. Observed error APP-771. Impact appears limited to the requesting department. Ticket originated via phone and was routed to Monitoring.,Data Warehouse,Reporting,P4,3,3,Monitoring,Daniel Kim,Closed,0,0,Phone,Generic-App,Sales,2025-09-12 09:14:16,True
INC100006,2025-09-19 16:59:09,2025-09-24 23:49:13,2025-09-25 13:49:13,Calendar invitations missing,Incident 100006: user reports vpn issue. Observed error DNS-003. Impact appears limited to the requesting department. Ticket originated via chat and was routed to Network Operations.,Robotics,Scanner,P4,3,3,Network Operations,Arjun Mehta,Closed,3,2,Chat,Calendar,IT,2025-09-23 16:59:09,False
INC100007,2025-09-03 14:52:22,2025-09-04 22:14:49,2025-09-07 17:14:49,Firewall blocks application traffic,Incident 100007: user reports azure issue. Observed error AUTH-401. Impact appears limited to the requesting department. Ticket originated via phone and was routed to Cloud Operations.,IoT,Sensor,Sev2,1,2,Cloud Operations,Emily Stone,Closed,1,0,Phone,VPN-Gateway,Finance,2025-09-04 02:52:22,True
INC100008,2025-09-04 10:24:21,2025-09-06 20:05:16,2025-09-08 07:05:16,Monitor flickers after docking,Incident 100008: user reports exchange issue. Observed error DNS-003. Impact appears limited to the requesting department. Ticket originated via walk-up and was routed to End User Computing.,Hardware,Printer,Sev4,3,3,End User Computing,Emily Stone,Closed,0,0,Walk-up,Monitor,Finance,2025-09-08 10:24:21,True
INC100009,2025-09-01 09:25:35,,2025-09-05 08:21:53,Service interruption reported,Incident 100009: user reports aws issue. Observed error ERR-1042. Impact appears limited to the requesting department. Ticket originated via phone and was routed to End User Computing.,Printing,Print Quality,Sev3,2,2,End User Computing,Sara Thomas,In Progress,0,0,Phone,Shared-Service,HR,2025-09-03 09:25:35,True
INC100010,2025-09-04 11:35:15,2025-09-05 21:41:28,2025-09-06 17:41:28,Spam filtering issue,Incident 100010: user reports finance app issue. Observed error AUTH-401. Impact appears limited to the requesting department. Ticket originated via monitoring and was routed to Messaging.,Email,Mailbox,P3,2,2,Messaging,Sara Thomas,Closed,1,0,Monitoring,Mail-Gateway,IT,2025-09-06 11:35:15,True
INC100011,2025-09-08 09:06:30,2025-09-08 16:31:16,2025-09-09 19:31:16,Outlook unavailable,Incident 100011: user reports exchange issue. Observed error TIMEOUT-408. Impact appears limited to the requesting department. Ticket originated via self-service and was routed to Messaging.,Email,Mailbox,P2,1,2,Messaging,Maya Chen,Closed,1,0,Self-service,Spam-Filter,Engineering,2025-09-08 21:06:30,True
INC100012,2025-09-01 11:59:46,2025-09-04 00:48:30,2025-09-05 14:48:30,ERP transaction fails,Incident 100012: user reports service portal issue. Observed error TIMEOUT-408. Impact appears limited to the requesting department. Ticket originated via email and was routed to Application Support.,Application,HR Portal,Sev3,2,2,Application Support,Daniel Kim,Closed,0,0,Email,HR-Portal,Operations,2025-09-03 11:59:46,True
INC100013,2025-09-04 12:52:46,2025-09-06 12:47:21,2025-09-07 08:47:21,Mailbox not syncing,Incident 100013: user reports vpn issue. Observed error DB-1205. Impact appears limited to the requesting department. Ticket originated via self-service and was routed to Messaging.,Email,Spam,Sev3,2,2,Messaging,Vikram Singh,Closed,0,0,Self-service,Mail-Gateway,Operations,2025-09-06 12:52:46,True
